T_condensador,T_evaporador,capacidade,eficiencia,potencia,fluxo_massa
318,238,67,1.01,66,1.3
318,243,97,1.23,79,1.88
318,248,131,1.44,91,2.54
318,253,169,1.65,102,3.29
318,258,212,1.89,113,4.14
318,263,260,2.14,122,5.09
328,243,82,1.05,78,1.59
328,248,116,1.25,93,2.25
328,253,155,1.44,107,3.0
328,258,198,1.64,121,3.86
328,263,247,1.84,134,4.83
338,248,100,1.08,93,1.95
338,253,139,1.27,109,2.7
338,258,182,1.44,126,3.56
338,263,232,1.62,143,4.53
