,compressor,COP,QL,QH,m,w,UA_externo,UA_interno
0,Ideal,15.578947368421053,4129.9047619047615,4413.183427884169,0.023873407596460203,283.27866597905137,882.6366855768338,825.9809523809523
1,NJ7240F_19462BTU,4.306534971937694,6318.927254288134,8229.96926893984,0.03532322864652044,1467.288039099559,,
2,NJ9238E_15467BTU,5.191328408754549,4901.093029474354,6070.434238633077,0.02739985975147208,944.0922714905211,,
