T_condensador,T_evaporador,capacidade,eficiencia,potencia,fluxo_massa
318,238,70,1.06,66,1.36
318,243,99,1.29,77,1.92
318,248,133,1.53,87,2.59
318,253,174,1.77,98,3.38
318,258,222,2.02,110,4.32
318,263,276,2.29,121,5.41
328,243,86,1.12,77,1.67
328,248,120,1.34,89,2.33
328,253,160,1.56,103,3.11
328,258,207,1.77,117,4.04
328,263,262,1.99,131,5.12
338,248,104,1.19,88,2.02
338,253,144,1.39,104,2.79
338,258,190,1.58,120,3.71
338,263,244,1.77,138,4.78
