T_condensador,T_evaporador,capacidade,eficiencia,potencia,fluxo_massa
318,238,55,0.87,64,1.06
318,243,83,1.11,75,1.61
318,248,115,1.32,87,2.23
318,253,153,1.54,99,2.97
318,258,197,1.76,112,3.83
318,263,248,2.01,124,4.86
328,243,64,0.89,72,1.24
328,248,95,1.1,87,1.85
328,253,133,1.3,102,2.58
328,258,177,1.51,118,3.46
328,263,231,1.72,134,4.52
338,248,77,0.92,83,1.49
338,253,113,1.12,101,2.19
338,258,157,1.31,120,3.06
338,263,211,1.51,140,4.12
