T_condensador,T_evaporador,capacidade,eficiencia,potencia,fluxo_massa
318,238,61,0.84,73,1.18
318,243,92,1.12,82,1.78
318,248,127,1.37,92,2.46
318,253,167,1.62,103,3.24
318,258,211,1.85,114,4.11
318,263,261,2.08,125,5.1
328,243,75,0.92,82,1.45
328,248,110,1.16,94,2.12
328,253,149,1.39,108,2.9
328,258,195,1.6,122,3.8
328,263,247,1.8,137,4.83
338,248,93,1.0,93,1.81
338,253,133,1.21,109,2.58
338,258,178,1.41,127,3.48
338,263,231,1.59,146,4.52
