T_condensador;T_evaporação;capacidade;eficiencia;potencia;fluxo_massa
45;-35;67;1.01;66;1.30
45;-30;97;1.23;79;1.88
45;-25;131;1.44;91;2.54
45;-20;169;1.65;102;3.29
45;-15;212;1.89;113;4.14
45;-10;260;2.14;122;5.09
55;-30;82;1.05;78;1.59
55;-25;116;1.25;93;2.25
55;-20;155;1.44;107;3.00
55;-15;198;1.64;121;3.86
55;-10;247;1.84;134;4.83
65;-25;100;1.08;93;1.95
65;-20;139;1.27;109;2.70
65;-15;182;1.44;126;3.56
65;-10;232;1.62;143;4.53
