T_cond_C;T_evap_C;capacidade;eficiencia;consumo;corrente;fluxo_massa;T_cond_K;T_evap_K
35;-20;4466;5.48;814;3.56;23.36;308;253
35;-15;5741;6.46;889;4.03;30.16;308;258
35;-10;7245;7.5;966;4.45;38.2;308;263
35;-5;9000;8.69;1036;4.81;47.66;308;268
35;0;11028;10.12;1090;5.12;58.73;308;273
35;5;13350;11.92;1120;5.37;71.58;308;278
35;10;15989;14.34;1115;5.55;86.41;308;283
45;-20;4000;4.9;816;3.57;22.35;318;253
45;-15;5182;5.77;898;4.07;29.07;318;258
45;-10;6579;6.63;993;4.56;37.05;318;263
45;-5;8213;7.52;1092;5.03;46.49;318;268
45;0;10106;8.52;1187;5.48;57.56;318;273
45;5;12280;9.69;1267;5.9;70.45;318;278
45;10;14757;11.14;1325;6.28;85.34;318;283
55;-10;5930;6.01;987;4.68;35.95;328;263
55;-5;7432;6.75;1101;5.25;45.31;328;268
55;0;9179;7.51;1222;5.84;56.34;328;273
55;5;11194;8.36;1339;6.43;69.22;328;278
55;10;13497;9.34;1445;7.02;84.14;328;283
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
